Date : 2026-06-09 22:04:17
Directory : c:\Users\Keagan\.openclaw\workspace
Total : 253 files,  69814 codes, 3072 comments, 6836 blanks, all 79722 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\StatusBar.jsx                     | JavaScript JSX   |         17 |          0 |          3 |         20 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\StatusBar\StatusBar.jsx           | JavaScript JSX   |          4 |          0 |          2 |          6 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\SubMenu.css                       | PostCSS          |         32 |          0 |          6 |         38 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\SubMenu.jsx                       | JavaScript JSX   |         21 |          0 |          4 |         25 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\components\SubMenu\SubMenu.jsx               | JavaScript JSX   |         18 |          0 |          3 |         21 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\dashboard.css                                | PostCSS          |         13 |          1 |          3 |         17 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\layout\DashboardLayout.jsx                   | JavaScript JSX   |        130 |          0 |          8 |        138 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\CRM.jsx                                | JavaScript JSX   |          5 |          0 |          3 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\CRM\CRM.jsx                            | JavaScript JSX   |         22 |          0 |          2 |         24 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\Nest.jsx                               | JavaScript JSX   |          5 |          0 |          3 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\Nest\Nest.jsx                          | JavaScript JSX   |         22 |          0 |          2 |         24 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\ScenarioBuilder.jsx                    | JavaScript JSX   |          5 |          0 |          3 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\ScenarioBuilder\AetherEdgeLogic.jsx    | JavaScript JSX   |         78 |          0 |          7 |         85 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\ScenarioBuilder\ScenarioBuilder.css    | PostCSS          |        621 |          6 |         95 |        722 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\ScenarioBuilder\ScenarioBuilder.jsx    | JavaScript JSX   |        832 |          1 |         49 |        882 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\Scenarios.jsx                          | JavaScript JSX   |          5 |          0 |          3 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\pages\Scenarios\Scenarios.jsx                | JavaScript JSX   |         22 |          0 |          2 |         24 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\dashboard-v2\styles\dashboard-v2.css                      | PostCSS          |        361 |          0 |         46 |        407 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\data\mockSupabaseSchema.js                                | JavaScript       |         41 |          1 |          3 |         45 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\data\tempData.js                                          | JavaScript       |         26 |          1 |          1 |         28 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\hooks\useLegacyAnimation.js                               | JavaScript       |        135 |          5 |         10 |        150 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\index.css                                                 | PostCSS          |        576 |         26 |         69 |        671 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\main.jsx                                                  | JavaScript JSX   |         26 |          3 |          4 |         33 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\AuthPage.jsx                                        | JavaScript JSX   |        242 |          4 |         27 |        273 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\BreakroomPage.jsx                                   | JavaScript JSX   |         18 |          0 |          2 |         20 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\CalendarPage.jsx                                    | JavaScript JSX   |        207 |          3 |         23 |        233 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\DashboardPage.jsx                                   | JavaScript JSX   |        206 |          6 |         34 |        246 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\EmporiumPage.jsx                                    | JavaScript JSX   |        306 |          7 |         37 |        350 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\HomePage.jsx                                        | JavaScript JSX   |        479 |          5 |         52 |        536 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\MarketplacePage.jsx                                 | JavaScript JSX   |        241 |         10 |         30 |        281 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\Onboarding2Page.jsx                                 | JavaScript JSX   |        499 |          0 |         42 |        541 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\OnboardingPage.jsx                                  | JavaScript JSX   |        730 |          0 |         87 |        817 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\PasswordsPage.jsx                                   | JavaScript JSX   |      1,324 |         79 |        152 |      1,555 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\PhoneHelperPage.jsx                                 | JavaScript JSX   |        299 |          6 |         34 |        339 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\PricingPage.jsx                                     | JavaScript JSX   |        398 |          4 |         37 |        439 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\PrivacyPolicyPage.jsx                               | JavaScript JSX   |         51 |          2 |          8 |         61 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\ResetPasswordPage.jsx                               | JavaScript JSX   |        121 |          3 |         17 |        141 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\SettingsPage.jsx                                    | JavaScript JSX   |          9 |          0 |          5 |         14 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\pages\marketplace.jsx                                     | JavaScript JSX   |        130 |          5 |         14 |        149 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\services\apiService.js                                    | JavaScript       |         11 |          4 |          4 |         19 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\SonarDashboard.jsx                                  | JavaScript JSX   |      2,035 |         14 |        167 |      2,216 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\contexts\AudioPlayerContext.jsx                     | JavaScript JSX   |        150 |          0 |         16 |        166 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\contexts\CallLogsContext.jsx                        | JavaScript JSX   |        107 |          0 |         13 |        120 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\hooks\useCampaigns.js                               | JavaScript       |         66 |          0 |          8 |         74 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\hooks\useLeads.js                                   | JavaScript       |        293 |          0 |         34 |        327 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\hooks\useSonarState.js                              | JavaScript       |        415 |         22 |         47 |        484 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\hooks\useTasks.js                                   | JavaScript       |        141 |         12 |         18 |        171 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\api.js                                          | JavaScript       |        158 |         10 |         22 |        190 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\customFields.js                                 | JavaScript       |        215 |          0 |         41 |        256 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\fieldConfig.js                                  | JavaScript       |        247 |          2 |         24 |        273 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\fieldContexts.js                                | JavaScript       |        516 |         31 |         58 |        605 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\leadSchema.js                                   | JavaScript       |        309 |         12 |         34 |        355 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\lib\supabase.js                                     | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\CalendarPage.jsx                              | JavaScript JSX   |        490 |         18 |         44 |        552 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\CallLogsPage.jsx                              | JavaScript JSX   |        850 |          0 |         50 |        900 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\CampaignsModal.jsx                            | JavaScript JSX   |        413 |          6 |         22 |        441 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\ColorbarConfigModal.jsx                       | JavaScript JSX   |        493 |         21 |         45 |        559 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\CommanderModal.jsx                            | JavaScript JSX   |        219 |         18 |         21 |        258 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\FieldSettingsModal.jsx                        | JavaScript JSX   |        530 |          0 |         34 |        564 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\HireReceptionistModal.jsx                     | JavaScript JSX   |        313 |         12 |         32 |        357 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\LeadDetailPanel.jsx                           | JavaScript JSX   |        392 |          0 |         32 |        424 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\LeadsPage.jsx                                 | JavaScript JSX   |         92 |          4 |         13 |        109 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\LeadsTable.jsx                                | JavaScript JSX   |      1,995 |          0 |         96 |      2,091 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\LiveMonitoringPage.jsx                        | JavaScript JSX   |      2,506 |          0 |        209 |      2,715 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\RoutesPage.jsx                                | JavaScript JSX   |        423 |         24 |         36 |        483 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\ScenariosModal.jsx                            | JavaScript JSX   |        224 |          4 |         24 |        252 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\Scenarios\AetherEdgeLogic.jsx                 | JavaScript JSX   |        309 |         11 |         23 |        343 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\Scenarios\Scenarios.css                       | PostCSS          |      3,927 |         57 |        571 |      4,555 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\Scenarios\Scenarios.jsx                       | JavaScript JSX   |      5,865 |        154 |        379 |      6,398 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\Scenarios\VariablesPane.jsx                   | JavaScript JSX   |      1,563 |         30 |        132 |      1,725 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\Scenarios\smartActions.js                     | JavaScript       |        141 |         41 |         33 |        215 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\SettingsPage.jsx                              | JavaScript JSX   |      1,435 |         41 |        115 |      1,591 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\sonar\pages\WorkflowTreePage.jsx                          | JavaScript JSX   |        170 |         22 |         37 |        229 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\stores\passwordsStore.js                                  | JavaScript       |         86 |          9 |         15 |        110 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\AirtableGrid.css                                   | PostCSS          |        415 |         19 |         31 |        465 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\BreakroomCanvas.css                                | PostCSS          |        126 |         17 |         26 |        169 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\Calendar.css                                       | PostCSS          |        366 |          7 |         26 |        399 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\CommissionLogicModal.css                           | PostCSS          |        158 |          8 |         26 |        192 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\CreatePasswordModal.css                            | PostCSS          |        118 |         25 |         18 |        161 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\Dashboard.css                                      | PostCSS          |         73 |          3 |         11 |         87 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\DataTable.css                                      | PostCSS          |          0 |          0 |          3 |          3 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\DynamicGradient.css                                | PostCSS          |         46 |          1 |          5 |         52 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\EmporiumPage.css                                   | PostCSS          |        491 |         20 |         53 |        564 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\Grid.css                                           | PostCSS          |        157 |         10 |         11 |        178 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\HomePage.css                                       | PostCSS          |        408 |         11 |         38 |        457 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\MainPanel.css                                      | PostCSS          |         55 |          1 |          9 |         65 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\MasterPasswordModal.css                            | PostCSS          |        103 |          1 |         17 |        121 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\NavPanel.css                                       | PostCSS          |        104 |          1 |         14 |        119 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\PasswordsPage.css                                  | PostCSS          |        862 |         26 |        132 |      1,020 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\PhoneHelperPage.css                                | PostCSS          |        427 |         20 |         69 |        516 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\PrivacyPolicyPage.css                              | PostCSS          |         79 |          1 |         14 |         94 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\QueueItem.css                                      | PostCSS          |        174 |         10 |         30 |        214 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\QueueRoom.css                                      | PostCSS          |         44 |          1 |          7 |         52 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\TypingIndicator.css                                | PostCSS          |         31 |          1 |          6 |         38 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\ViewBar.css                                        | PostCSS          |         83 |          1 |          9 |         93 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\ViewToggle.css                                     | PostCSS          |         66 |          0 |          6 |         72 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\styles\marketplace.css                                    | PostCSS          |        258 |         11 |         14 |        283 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\supabaseClient.js                                         | JavaScript       |        158 |         11 |         39 |        208 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\utils\cookieUtils.js                                      | JavaScript       |         22 |          1 |          3 |         26 |
| c:\Users\Keagan\.openclaw\workspace\wysl\src\utils\crypto.js                                           | JavaScript       |         68 |          9 |          8 |         85 |
| c:\Users\Keagan\.openclaw\workspace\wysl\start-sonar.js                                                | JavaScript       |         34 |          0 |          8 |         42 |
| c:\Users\Keagan\.openclaw\workspace\wysl\start-sonar.mjs                                               | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\Keagan\.openclaw\workspace\wysl\supabase_overage_functions.sql                                | MS SQL           |         78 |         11 |         10 |         99 |
| c:\Users\Keagan\.openclaw\workspace\wysl\tailwind.config.js                                            | JavaScript       |         21 |          1 |          0 |         22 |
| c:\Users\Keagan\.openclaw\workspace\wysl\vercel.json                                                   | JSON             |          8 |          0 |          0 |          8 |
| c:\Users\Keagan\.openclaw\workspace\wysl\vite.config.js                                                | JavaScript       |         24 |          1 |          2 |         27 |
| Total                                                                                                  |                  |     69,814 |      3,072 |      6,836 |     79,722 |
+--------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
